"","control_A","control_B","ph5h_A","ph5h_B","LPS_A","LPS_B","ph5hLPS_A","ph5hLPS_B","X1","X2","X3","X4"
"0610009B22Rik",50.095242,46.0608,17.127895,22.013928,19.3531,17.904,18.859661,19.4702,0,0,0,0
"0610010F05Rik",21.360703922,24.854742,7.3167784589,7.621835,20.24667,14.096094,6.36909298879,5.861933,0,0,0,0
"0610010K14Rik",36.979628,41.29059,48.499321,40.755522,21.926923,24.273145,36.918312,30.0344233,0,0,0,0
"0610012G03Rik",60.5321,58.2722,47.3806,47.4534,30.0236,27.0657,33.6237,34.1216,0,0,0,0
"0610030E20Rik",14.653918,13.521462,20.000068,20.692254,11.1962540617678,10.681458,12.9888136,16.448104,0,0,0,0
"0610040J01Rik",1.121227,0.763864,0.342808,0.340172,0.114201,0.118966,0.1597701,0.127002,0,0,0,0
"1110002E22Rik",0,0,0,0,0.00930568,0,0,0,0,0,0,0
"1110004F10Rik",139.735571,154.549414,111.075118,124.411532,112.289436,116.043323,103.307393,99.896945,0,0,0,0
"1110008P14Rik",61.724663,60.082384,65.806518,61.726033,52.176287,48.239569,54.060116,58.268231,0,0,0,0
"1110012L19Rik",23.192,21.3761,17.1346,20.1386,10.1531,12.8507,12.7957,12.5584,0,0,0,0
"1110017D15Rik",0.1577,0.189443,0.454332,0,0.5459695,0,0.175966,0.270984,0,0,0,0
"1110025L11Rik",0,0,0,0,0,0.212527,0,0,0,0,0,0
"1110032A03Rik",26.813896,19.919404,9.682421,12.9602408,8.935952,9.642666,9.237774,8.1918629,0,0,0,0
"1110032F04Rik",0,0,0,0,0.441622,0.230061,0.145065,0.154462,0,0,0,0
"1110038F14Rik",31.886,31.5266,18.492,18.3011,102.114,91.7223,25.7384,26.1756,0,0,0,0
"1110051M20Rik",8.608677,7.504252,7.971707,7.122222,4.938684,4.5427,4.78889,6.436373,0,0,0,0
"1110057P08Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1110059E24Rik",27.46172,26.63601,19.678932,22.33429,20.01305,18.61231,16.3768,19.727268,0,0,0,0
"1110059G10Rik",25.54488,28.9431,18.45081,23.965659,20.63558,19.198216,24.36957,25.71597,0,0,0,0
"1110065P20Rik",12.79368,15.838069,16.118844,15.725819,11.230954,9.442592,12.984275,14.050737,0,0,0,0
"1190005I06Rik",4.147142,1.97204,12.04459,7.999222,0.203735,0.625466,8.64569,7.84284,0,0,0,0
"1190007I07Rik",14.9158500093389,12.68514,13.5745,12.743945,3.921712,7.971534,11.289476,9.940998,0,0,0,0
"1300017J02Rik",0.033825,0.0414184,0,0.0513022,0,0,0,0.0915111,0,0,0,0
"1500009C09Rik",0,0,0,0.0643635,0,0,0,0,0,0,0,0
"1500009L16Rik",0,0,0,0,0.07926,0.1324222,0.16065,0.143721,0,0,0,0
"1500011B03Rik",37.775523,37.781765,38.81917,37.54123,22.41358,23.09222,28.61342,28.48189,0,0,0,0
"1520401A03Rik",0.125035,0.0466594,0.074405,0.39415058,0,0.026026,0.0899152,0.0419587,0,0,0,0
"1600002K03Rik",22.6275,20.718,25.0516,22.0419,15.6575,14.0042,18.0649,20.4726,0,0,0,0
"1600012H06Rik",42.322347,36.921064,19.358101,22.318101,33.666688,33.603491,20.350668,19.639149,0,0,0,0
"1600014C10Rik",11.301982,11.177254,5.381896,5.38958,30.19811,25.827485,4.223413,5.430182,0,0,0,0
"1600014C23Rik",0,0,0,0,0,0,0,0.408149,0,0,0,0
"1600029O15Rik",0,0,0.252548,0.375108,0.135884,0,0.34672,0.377368,0,0,0,0
"1700001C02Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700001C19Rik",0.5915427,0.392726,0.205474,0.3555526,0.0607647,0,0.1904295,0,0,0,0,0
"1700001F09Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700001J03Rik",0,0,0.29808,0.531572,0,0,0,0.441815,0,0,0,0
"1700001J11Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700001K19Rik",0.587583,0.453541,0,0.3869508,0,0,0.109567,0.279652,0,0,0,0
"1700001L19Rik",0.125378,0,0,0,0,0,0.1401,0,0,0,0,0
"1700001O22Rik",0.253189,0,0,0,0,0,0,0.119323,0,0,0,0
"1700001P01Rik",0.167127,0,0,0,0.189735,0,0,0.316772,0,0,0,0
"1700003E16Rik",0.0419893,0.244389,0.050394,0,0.0478057,0,0.0470996,0,0,0,0,0
"1700003F12Rik",3.854169,4.311089,3.261521,2.27075,2.11557,2.026729,3.18778,2.864505,0,0,0,0
"1700003H04Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700003N22Rik",0.125047,0.143204,0.149847,0,0,0,0,0,0,0,0,0
"1700006A11Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700007E05Rik",0,0.0670329,0.0699599,0,0,0.068383,0,0.0552375,0,0,0,0
"1700007K13Rik",0,0.17665,0.716751,1.34753,0,0,0.533228,0.5819228,0,0,0,0
"1700008O03Rik",0.61687,0.569395,0.124196,0.831899,0.13777,0,0.3057344,0.1711446,0,0,0,0
"1700008P02Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700009N14Rik",0,0.082433,0,0,0,0,0,0,0,0,0,0
"1700010B08Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700010I14Rik",2.85947,1.991696,1.49462,1.61008,0.997577,1.061598351945,0.4922592,0.849483,0,0,0,0
"1700010N08Rik",0,0,0.0805209,0,0,0,0,0,0,0,0,0
"1700011L22Rik",0.508653,0.290353,0,0.289133,0,0,0,0,0,0,0,0
"1700011M02Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700012A03Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700012B07Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700012B09Rik",0,0,0,0,0.183114,0,0,0.418577,0,0,0,0
"1700012P22Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700013D24Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700013F07Rik",0,0,0.155714,0,0,0,0.144708,0,0,0,0,0
"1700013G24Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700013H16Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700014D04Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700015F17Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700015G11Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700016C15Rik",0,0,0,0,0,0,0,0.121448,0,0,0,0
"1700016D06Rik",0.340754,0.174573,0.430989,0.239159,0.113561,0,0.0792246,0.36919,0,0,0,0
"1700016H13Rik",0.171521,0,0,0,0,0,0,0,0,0,0,0
"1700016K19Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700017B05Rik",42.38369,44.585121,41.602625,41.770743,7.024008,10.591073,7.157024,6.881941,0,0,0,0
"1700017N19Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700018B08Rik",0,0,0.117655504,0,0,0,0,0,0,0,0,0
"1700018F24Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700018G05Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700018M17Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700019A02Rik",0,0,0,0.180697,0,0,0,0,0,0,0,0
"1700019D03Rik",0.167484,0,0.05121570193951,0,0.0511672,0,0.02577850101714,0,0,0,0,0
"1700019M22Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700019N19Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700020A23Rik",0.140694,0.245264,0.338369,0,0,0,0,0,0,0,0,0
"1700020D05Rik",1.71877,0.628876,1.84738,1.22491,0.308629,0.214341,0.404982,0.775346,0,0,0,0
"1700020L24Rik",0.383318,0.879868,0.461446,0.842766,0.771195,0.477925,1.115397,1.092189,0,0,0,0
"1700020N01Rik",0,1.37452,0.207492,0,0.098232,0,0.193368,0.246823,0,0,0,0
"1700020N15Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700021F05Rik",24.598488,23.869158,8.22049,10.698159,19.0764094,19.1072373,8.802123,8.106292,0,0,0,0
"1700021F07Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700022A21Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700022I11Rik",0.109882,0,0.1583583,0.121951,0,0.125187,0,0,0,0,0,0
"1700024B05Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700024G13Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700024J04Rik",0.28204,0.218853,0.169263,0.159629,0.0535118,0,0.0527154,0.134749,0,0,0,0
"1700024P04Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700025B11Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700025C18Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700025G04Rik",28.96921,29.904737,16.22287,18.008895,6.913299,8.040369,14.408074,11.454804,0,0,0,0
"1700028B04Rik",0.411284,0.333922,0.484609,0.271015,0,0,0.32516,0.572003,0,0,0,0
"1700028J19Rik",0.958831621951,0.89883,1.758303,1.339419,1.05767,1.043512,1.743409,1.569644,0,0,0,0
